model,date
gemini-2.0-flash-thinking-exp-01-21,20250123
gemini-2.0-flash-thinking-exp-1219,20241220
gemini-2.0-pro-exp-02-05,20250205
gemini-2.5-pro-exp-03-25,20250325
gemini-exp-1114,20241115
gemini-exp-1121,20241121
gemini-exp-1206,20241210
gemma-1.1-7b-it,20240708
gemma-2-27b-it,20240701
gemma-2-9b-it,20240701
gemma-3-27b-it,20250317
gpt-3.5-turbo-0125,20240607
gpt-3.5-turbo-1106,20240607
gpt-4-0125-preview,20240607
gpt-4-0613,20240710
gpt-4-1106-preview,20240607
gpt-4-turbo-2024-04-09,20240607
gpt-4.5-preview-2025-02-27,20250227
gpt-4o-2024-05-13,20240607
gpt-4o-2024-08-06,20240806
gpt-4o-2024-11-20,20241121
gpt-4o-mini-2024-07-18,20240718
grok-2,20241017
grok-2-1212,20241216
grok-2-mini,20241017
grok-3,20250226
grok-3-beta,20250314
grok-3-mini-reasoning-beta,20250314
grok-beta,20241210
hermes-3-llama-3.1-70b,20240819
hunyuan-turbos-20250313,20250325
lcb-math-qwen2-72b-instructv3-merged-50,20240816
learnlm-1.5-pro-experimental,20241212
llama-3.1-nemotron-70b-instruct,20241017
llama-3.3-70b-instruct-turbo,20241210
mathstral-7B-v0.1,20240718
meta-llama-3.1-405b-instruct-turbo,20241210
meta-llama-3.1-70b-instruct-turbo,20241210
meta-llama-3.1-8b-instruct-turbo,20241210
mistral-large-2402,20240607
mistral-large-2407,20240724
mistral-large-2411,20241210
mistral-small-2402,20240607
mistral-small-2409,20241210
mistral-small-2501,20250131
mistral-small-2503,20250318
o1-2024-12-17-high,20241218
o1-2024-12-17-low,20241223
o1-2024-12-17-medium,20250304
o1-mini-2024-09-12,20240915
o1-preview-2024-09-12,20240915
o3-mini-2025-01-31-high,20250131
o3-mini-2025-01-31-low,20250131
o3-mini-2025-01-31-medium,20250201
olmo-2-1124-13b-instruct,20241210
open-mistral-nemo,20240724
qwen2-math-72b-instruct,20240809
qwen2.5-max,20250203
qwq-32b,20250313
qwq-32b-preview,20241204
sky-t1-32b-preview,20250120
sonar,20250322
sonar-pro,20250321
step-2-16k-202411,20241118
vicuna-7b-v1.5,20240607
vicuna-7b-v1.5-16k,20240607
wbot-4:347b_no_s,20250305
zephyr-7b-alpha,20240607
zephyr-7b-beta,20240607
